D115 ID	Leika Nummer	Leika Gruppe	Leika Kennung	Leika Verrichtung	Leika Synonyme
326690	99001013006000	Abfall	Transport nach dem Kreislaufwirtschaftsgesetz	Genehmigung	Abfalltransport | Abfallsammler | Abfallbeförderer | Abfallhändler | Abfallmakler | Sammler | Beförderer | Händler | Makler gefährlicher Abfälle | Erlaubnis nach § 54 KrwG | Kreislaufwirtschaftsgesetz
326423	99108008152000	Straßenverkehr	abgeschleppte Fahrzeuge	Herausgabe	Fahrzeug-Verwahrplatz | Autoknast | abgeschleppt | Kfz-Verwahrplatz | Verwahrung | amtliche Verwahrung | polizeiliche Verwahrung | Eigentumssicherung | Verbringung | abtransportieren | Fahrzeug abholen | Fahrzeug mitnehmen | Fahrzeug wegbringen | Fahrzeug verschrotten | Sicherstellung | Fahrzeugabholung
120335	99115005070000	Wohnsitz	Wohnsitz	Abmeldung	Abmeldung | Wohnungsabmeldung | Wegzug | abmelden | Wohnsitz | Wohnung abmelden | Wohnungswechsel | Umzug | Adressänderung | ummelden
327070	99046058061000	Gerichtliche Leistungen	Abwesenheitspfleger	Bestellung	Pfleger für abwesende volljährige Personen | Abwesenheitspfleger - Bestellung
326399	99089070109000	Sicherheit und Ordnung	Akten im Bußgeldverfahren	Einsicht gewähren	Akteneinsicht | Fotoeinsicht | Beweismitteleinsicht | Fahrerbenennung | Aktenversendung | Beweismittel | Zeugen | Bußgeld | Bussgeld
325951	11001004004900	Abfall	Wilder Müll	Entsorgung	Kartonage | Entsorgung | Müllabfuhr | Papier | Pappe | Altpapiersammlung | Papierabfall
326113	99108033001000	Straßenverkehr	Anerkennung der Kraftfahrzeugwerkstätten für die Durchführung der Gassystemeinbauprüfungen	Erteilung	Gasanlagenprüfung | Gassystemeinbauprüfung
324336	99126013016000	Vormundschaft	Betreuungsverein	Anerkennung	Betreuungsgesetz | Betreuung | Betreuungsverein |
324330	99066006016000	Insolvenz	Schuldner- und Insolvenzberatungsstellen	Anerkennung	Schuldnerberatung | Verbraucherinsolvenz | Insolvenz | Schulden | Schuldenregulierung | Privatinsolvenz
326133	99108032001000	Straßenverkehr	Anerkennung von Stellen für Fahrtschreiber- und Kontrollgeräteprüfungen	Erteilung	Fahrtenschreiber | Werkstatt | Kontrollgeräte
